sub	sess	t	cond	onset	open_d	door	door_p	tgt_door	tgt_on	tgt_found	depress_dur	x	y
1	1	1	3	0.034	0	0	0.000	1	0	0	0.019	965.068	520.290
1	1	1	3	0.043	0	0	0.000	1	0	0	0.028	964.926	518.990
1	1	1	3	0.053	0	0	0.000	1	0	0	0.038	963.772	515.265
1	1	1	3	0.062	0	0	0.000	1	0	0	0.047	963.924	517.465
1	1	1	3	0.072	0	0	0.000	1	0	0	0.057	964.963	519.402
1	1	1	3	0.082	0	0	0.000	1	0	0	0.067	968.412	523.278
1	1	1	3	0.092	0	0	0.000	1	0	0	0.077	969.239	529.658
1	1	1	3	0.102	0	0	0.000	1	0	0	0.087	975.544	532.483
1	1	1	3	0.112	0	0	0.000	1	0	0	0.097	972.060	535.360
1	1	1	3	0.122	0	0	0.000	1	0	0	0.107	970.259	532.853
1	1	1	3	0.132	0	0	0.000	1	0	0	0.117	975.094	534.272
1	1	1	3	0.142	0	0	0.000	1	0	0	0.127	976.154	538.983
1	1	1	3	0.152	0	0	0.000	1	0	0	0.137	981.552	536.917
1	1	1	3	0.162	0	0	0.000	1	0	0	0.147	981.511	531.397
1	1	1	3	0.172	0	0	0.000	1	0	0	0.157	979.507	531.078
1	1	1	3	0.182	0	0	0.000	1	0	0	0.167	978.302	527.120
1	1	1	3	0.192	0	0	0.000	1	0	0	0.177	977.996	527.424
1	1	1	3	0.202	0	10	0.063	1	0	0	0.187	976.269	523.520
1	1	1	3	0.212	0	10	0.063	1	0	0	0.197	973.497	522.235
1	1	1	3	0.222	0	0	0.000	1	0	0	0.207	970.993	522.937
1	1	1	3	0.232	0	10	0.063	1	0	0	0.217	973.709	518.527
1	1	1	3	0.242	0	0	0.000	1	0	0	0.227	969.258	519.333
1	1	1	3	0.252	0	0	0.000	1	0	0	0.237	971.202	521.992
1	1	1	3	0.262	0	0	0.000	1	0	0	0.247	972.554	522.106
1	1	1	3	0.272	0	0	0.000	1	0	0	0.257	970.607	522.686
1	1	1	3	0.282	0	0	0.000	1	0	0	0.267	967.290	520.734
1	1	1	3	0.292	0	0	0.000	1	0	0	0.277	964.994	521.668
1	1	1	3	0.302	0	0	0.000	1	0	0	0.287	967.534	517.751
1	1	1	3	0.312	0	10	0.063	1	0	0	0.297	968.585	515.227
1	1	1	3	0.322	0	10	0.063	1	0	0	0.307	972.048	510.926
1	1	1	3	0.332	0	10	0.063	1	0	0	0.317	971.115	514.009
1	1	1	3	0.342	0	10	0.063	1	0	0	0.327	968.939	510.530
1	1	1	3	0.352	0	0	0.000	1	0	0	0.337	963.752	510.277
1	1	1	3	0.362	0	0	0.000	1	0	0	0.347	962.789	509.715
1	1	1	3	0.372	0	10	0.063	1	0	0	0.357	965.929	509.361
1	1	1	3	0.382	0	0	0.000	1	0	0	0.367	965.877	511.233
1	1	1	3	0.392	0	0	0.000	1	0	0	0.377	964.419	511.101
1	1	1	3	0.402	0	0	0.000	1	0	0	0.387	962.627	519.442
1	1	1	3	0.412	0	0	0.000	1	0	0	0.397	962.889	520.817
1	1	1	3	0.422	0	0	0.000	1	0	0	0.407	958.826	518.263
1	1	1	3	0.432	0	6	0.063	1	0	0	0.417	952.865	507.712
1	1	1	3	0.442	0	6	0.063	1	0	0	0.427	950.411	507.866
1	1	1	3	0.452	0	6	0.063	1	0	0	0.437	945.828	503.646
1	1	1	3	0.462	0	6	0.063	1	0	0	0.447	945.796	496.538
1	1	1	3	0.472	0	6	0.063	1	0	0	0.457	939.665	491.035
1	1	1	3	0.482	0	6	0.063	1	0	0	0.467	939.310	491.201
1	1	1	3	0.492	0	6	0.063	1	0	0	0.477	939.269	486.190
1	1	1	3	0.502	0	6	0.063	1	0	0	0.487	935.398	485.146
1	1	1	3	0.512	0	6	0.063	1	0	0	0.497	933.097	485.371
1	1	1	3	0.522	0	6	0.063	1	0	0	0.507	934.366	485.473
1	1	1	3	0.532	0	6	0.063	1	0	0	0.517	934.421	483.798
1	1	1	3	0.542	0	6	0.063	1	0	0	0.527	932.646	482.032
1	1	1	3	0.552	0	6	0.063	1	0	0	0.537	930.395	481.291
1	1	1	3	0.562	0	6	0.063	1	0	0	0.547	930.538	480.565
1	1	1	3	0.572	0	6	0.063	1	0	0	0.557	928.501	479.552
1	1	1	3	0.582	0	6	0.063	1	0	0	0.567	924.929	478.485
1	1	1	3	0.604	1	6	0.063	1	0	0	0.022	927.054	474.017
1	1	1	3	0.612	1	6	0.063	1	0	0	0.030	927.992	473.712
1	1	1	3	0.623	1	6	0.063	1	0	0	0.041	926.966	473.431
1	1	1	3	0.632	1	6	0.063	1	0	0	0.050	925.645	469.719
1	1	1	3	0.642	1	6	0.063	1	0	0	0.060	924.627	471.661
1	1	1	3	0.652	1	6	0.063	1	0	0	0.070	927.388	469.247
1	1	1	3	0.662	1	6	0.063	1	0	0	0.080	925.206	471.267
1	1	1	3	0.672	1	6	0.063	1	0	0	0.090	926.390	475.093
1	1	1	3	0.682	1	6	0.063	1	0	0	0.100	925.177	476.719
1	1	1	3	0.692	1	6	0.063	1	0	0	0.110	926.336	478.974
1	1	1	3	0.702	1	6	0.063	1	0	0	0.120	931.156	479.834
1	1	1	3	0.712	1	6	0.063	1	0	0	0.130	925.348	483.383
1	1	1	3	0.722	1	6	0.063	1	0	0	0.140	923.384	482.855
1	1	1	3	0.732	1	6	0.063	1	0	0	0.150	929.566	482.379
1	1	1	3	0.742	1	6	0.063	1	0	0	0.160	921.193	482.846
1	1	1	3	0.752	1	6	0.063	1	0	0	0.170	931.920	479.668
1	1	1	3	0.762	1	6	0.063	1	0	0	0.180	932.153	479.914
1	1	1	3	0.772	1	6	0.063	1	0	0	0.190	933.268	478.176
1	1	1	3	0.782	1	6	0.063	1	0	0	0.200	928.108	475.416
1	1	1	3	0.792	1	6	0.063	1	0	0	0.210	933.531	472.522
1	1	1	3	0.802	1	6	0.063	1	0	0	0.220	931.443	470.625
1	1	1	3	0.812	1	6	0.063	1	0	0	0.230	933.599	470.978
1	1	1	3	0.822	1	6	0.063	1	0	0	0.240	934.514	468.916
1	1	1	3	0.832	1	6	0.063	1	0	0	0.250	933.815	469.701
1	1	1	3	0.842	1	6	0.063	1	0	0	0.260	935.953	466.557
1	1	1	3	0.852	1	6	0.063	1	0	0	0.270	933.788	468.576
1	1	1	3	0.862	1	6	0.063	1	0	0	0.280	933.278	466.786
1	1	1	3	0.872	1	6	0.063	1	0	0	0.290	934.647	461.146
1	1	1	3	0.882	1	6	0.063	1	0	0	0.300	934.694	453.540
1	1	1	3	0.892	0	0	0.000	1	0	0	0.310	934.836	450.879
1	1	1	3	0.902	0	0	0.000	1	0	0	0.320	935.272	446.599
1	1	1	3	0.912	0	0	0.000	1	0	0	0.330	935.565	447.158
