sub	sess	t	cond	onset	open_d	door	door_p	tgt_door	depress_dur	x	y
1	1	1	3	0.022	0	6	0.063	1	0.017	939.292	528.351
1	1	1	3	0.041	0	6	0.063	1	0.035	939.269	528.474
1	1	1	3	0.061	0	0	0.000	1	0.055	939.525	530.263
1	1	1	3	0.071	0	0	0.000	1	0.065	939.870	530.360
1	1	1	3	0.091	0	0	0.000	1	0.085	938.483	531.148
1	1	1	3	0.111	0	0	0.000	1	0.105	937.863	531.589
1	1	1	3	0.121	0	0	0.000	1	0.115	937.286	532.587
1	1	1	3	0.141	0	0	0.000	1	0.135	936.160	534.076
1	1	1	3	0.161	0	0	0.000	1	0.155	935.942	534.909
1	1	1	3	0.171	0	0	0.000	1	0.166	935.943	535.644
1	1	1	3	0.191	0	0	0.000	1	0.185	935.517	536.814
1	1	1	3	0.211	0	0	0.000	1	0.206	935.812	538.068
1	1	1	3	0.221	0	0	0.000	1	0.216	935.935	540.240
1	1	1	3	0.241	0	0	0.000	1	0.236	936.360	540.769
1	1	1	3	0.261	0	0	0.000	1	0.256	935.888	541.382
1	1	1	3	0.271	0	0	0.000	1	0.266	936.380	542.020
1	1	1	3	0.291	0	0	0.000	1	0.286	936.324	543.839
1	1	1	3	0.311	0	0	0.000	1	0.306	934.996	544.320
1	1	1	3	0.321	0	0	0.000	1	0.316	930.363	536.852
1	1	1	3	0.341	0	6	0.063	1	0.336	929.928	531.773
1	1	1	3	0.351	0	6	0.063	1	0.346	924.336	524.014
1	1	1	3	0.371	0	6	0.063	1	0.366	924.466	523.911
1	1	1	3	0.391	0	6	0.063	1	0.386	922.494	521.915
1	1	1	3	0.401	0	6	0.063	1	0.396	917.291	518.424
1	1	1	3	0.421	0	6	0.063	1	0.416	916.189	514.504
1	1	1	3	0.441	0	6	0.063	1	0.436	914.005	513.079
1	1	1	3	0.461	0	6	0.063	1	0.456	912.721	513.371
1	1	1	3	0.471	0	6	0.063	1	0.466	911.542	509.933
1	1	1	3	0.491	0	6	0.063	1	0.486	910.472	508.177
1	1	1	3	0.501	0	6	0.063	1	0.496	911.391	507.323
1	1	1	3	0.521	0	6	0.063	1	0.516	911.092	506.215
1	1	1	3	0.541	0	6	0.063	1	0.536	912.288	505.417
1	1	1	3	0.561	0	6	0.063	1	0.556	912.408	504.056
1	1	1	3	0.571	0	6	0.063	1	0.566	911.742	503.218
1	1	1	3	0.591	0	6	0.063	1	0.586	912.121	502.788
1	1	1	3	0.613	1	6	0.063	1	0.022	912.090	502.066
1	1	1	3	0.622	1	6	0.063	1	0.031	911.710	501.297
1	1	1	3	0.641	1	6	0.063	1	0.050	912.000	499.620
1	1	1	3	0.661	1	6	0.063	1	0.070	912.039	499.057
1	1	1	3	0.671	1	6	0.063	1	0.080	913.107	498.871
1	1	1	3	0.691	1	6	0.063	1	0.100	912.684	499.028
1	1	1	3	0.701	1	6	0.063	1	0.110	912.798	498.967
1	1	1	3	0.721	1	6	0.063	1	0.130	912.658	500.775
1	1	1	3	0.741	1	6	0.063	1	0.150	911.726	500.422
1	1	1	3	0.761	1	6	0.063	1	0.170	911.250	500.003
1	1	1	3	0.771	1	6	0.063	1	0.180	910.139	499.333
1	1	1	3	0.791	1	6	0.063	1	0.200	910.846	499.323
1	1	1	3	0.801	1	6	0.063	1	0.210	910.402	499.192
1	1	1	3	0.821	1	6	0.063	1	0.230	910.249	499.479
1	1	1	3	0.841	1	6	0.063	1	0.250	909.628	499.654
1	1	1	3	0.861	1	6	0.063	1	0.270	908.581	500.050
1	1	1	3	0.871	1	6	0.063	1	0.280	909.073	500.635
1	1	1	3	0.891	1	6	0.063	1	0.300	908.646	500.109
1	1	1	3	0.911	1	6	0.063	1	0.320	908.352	499.431
1	1	1	3	0.921	1	6	0.063	1	0.330	908.125	500.017
1	1	1	3	0.941	1	6	0.063	1	0.350	909.201	499.073
1	1	1	3	0.951	1	6	0.063	1	0.360	909.014	496.459
1	1	1	3	0.971	1	6	0.063	1	0.380	909.301	495.784
1	1	1	3	0.991	1	6	0.063	1	0.400	909.689	495.273
1	1	1	3	1.001	1	6	0.063	1	0.410	908.022	495.071
1	1	1	3	1.021	1	6	0.063	1	0.430	909.856	493.093
1	1	1	3	1.041	1	6	0.063	1	0.450	909.765	490.933
1	1	1	3	1.051	1	6	0.063	1	0.460	910.027	489.423
1	1	1	3	1.071	1	6	0.063	1	0.480	910.593	490.011
1	1	1	3	1.091	1	6	0.063	1	0.500	910.935	488.426
1	1	1	3	1.101	1	6	0.063	1	0.510	911.246	486.175
1	1	1	3	1.121	1	6	0.063	1	0.530	912.597	485.965
1	1	1	3	1.141	1	6	0.063	1	0.550	913.096	486.707
1	1	1	3	1.151	1	6	0.063	1	0.560	912.164	485.386
1	1	1	3	1.171	1	6	0.063	1	0.580	912.625	485.848
1	1	1	3	1.191	1	10	0.063	1	0.600	1014.680	484.789
1	1	1	3	1.201	1	10	0.063	1	0.610	999.870	484.817
1	1	1	3	1.221	1	10	0.063	1	0.630	1004.689	485.093
1	1	1	3	1.241	1	10	0.063	1	0.650	1007.256	486.394
1	1	1	3	1.251	1	10	0.063	1	0.660	1007.438	484.842
1	1	1	3	1.271	1	10	0.063	1	0.680	1007.189	484.357
1	1	1	3	1.291	1	10	0.063	1	0.700	1007.026	484.850
1	1	1	3	1.301	1	10	0.063	1	0.710	1007.434	484.880
1	1	1	3	1.321	1	10	0.063	1	0.730	1006.783	482.722
1	1	1	3	1.341	1	10	0.063	1	0.750	1007.848	484.457
