sub	sess	t	cond	loc	prob	tgt
1	1	999	3	1	999	16
1	1	999	3	15	999	62
1	1	999	3	5	999	31
1	1	999	3	7	999	33
1	1	999	3	1	999	82
1	1	1	2	12	2.500000e-01	20
1	1	2	1	15	2.500000e-01	65
1	1	3	1	1	2.500000e-01	9
1	1	4	1	1	2.500000e-01	29
1	1	5	1	4	2.500000e-01	66
1	1	6	1	4	2.500000e-01	53
1	1	7	1	4	2.500000e-01	62
1	1	8	2	2	2.500000e-01	41
1	1	9	2	8	2.500000e-01	37
1	1	10	1	1	2.500000e-01	38
1	1	11	1	4	2.500000e-01	4
1	1	12	1	4	2.500000e-01	31
1	1	13	1	15	2.500000e-01	19
1	1	14	2	2	2.500000e-01	28
1	1	15	2	12	2.500000e-01	31
1	1	16	2	2	2.500000e-01	18
1	1	17	2	12	2.500000e-01	56
1	1	18	1	15	2.500000e-01	54
1	1	19	1	4	2.500000e-01	39
1	1	20	1	1	2.500000e-01	20
1	1	21	1	15	2.500000e-01	43
1	1	22	2	2	2.500000e-01	15
1	1	23	2	14	2.500000e-01	68
1	1	24	1	15	2.500000e-01	3
1	1	25	1	15	2.500000e-01	10
1	1	26	2	2	2.500000e-01	73
1	1	27	2	12	2.500000e-01	59
1	1	28	1	1	2.500000e-01	12
1	1	29	2	14	2.500000e-01	43
1	1	30	2	14	2.500000e-01	39
1	1	31	2	14	2.500000e-01	32
1	1	32	1	1	2.500000e-01	15
1	1	33	2	14	2.500000e-01	46
1	1	34	1	15	2.500000e-01	8
1	1	35	2	2	2.500000e-01	55
1	1	36	2	8	2.500000e-01	58
1	1	37	2	12	2.500000e-01	8
1	1	38	1	4	2.500000e-01	37
1	1	39	1	4	2.500000e-01	70
1	1	40	2	14	2.500000e-01	77
1	1	41	2	12	2.500000e-01	42
1	1	42	2	12	2.500000e-01	49
1	1	43	2	8	2.500000e-01	61
1	1	44	1	15	2.500000e-01	17
1	1	45	2	8	2.500000e-01	75
1	1	46	1	1	2.500000e-01	2
1	1	47	1	15	2.500000e-01	63
1	1	48	2	2	2.500000e-01	25
1	1	49	2	8	2.500000e-01	78
1	1	50	2	2	2.500000e-01	40
1	1	51	1	4	2.500000e-01	56
1	1	52	2	12	2.500000e-01	74
1	1	53	1	4	2.500000e-01	13
1	1	54	1	4	2.500000e-01	73
1	1	55	1	1	2.500000e-01	55
1	1	56	2	2	2.500000e-01	53
1	1	57	2	2	2.500000e-01	10
1	1	58	1	1	2.500000e-01	6
1	1	59	1	15	2.500000e-01	44
1	1	60	2	8	2.500000e-01	47
1	1	61	2	14	2.500000e-01	57
1	1	62	2	14	2.500000e-01	50
1	1	63	1	4	2.500000e-01	50
1	1	64	1	1	2.500000e-01	24
1	1	65	1	10	2.500000e-01	7
1	1	66	2	14	2.500000e-01	35
1	1	67	1	15	2.500000e-01	25
1	1	68	1	10	2.500000e-01	32
1	1	69	2	12	2.500000e-01	36
1	1	70	2	2	2.500000e-01	12
1	1	71	2	2	2.500000e-01	51
1	1	72	1	4	2.500000e-01	42
1	1	73	2	2	2.500000e-01	65
