sub	sess	t	cond	loc	prob	tgt
1	2	999	3	11	999	57
1	2	999	3	9	999	74
1	2	999	3	8	999	95
1	2	999	3	1	999	83
1	2	999	3	4	999	82
1	2	1	2	9	2.500000e-01	35
1	2	2	2	7	2.500000e-01	65
1	2	3	2	2	2.500000e-01	8
1	2	4	2	9	2.500000e-01	23
1	2	5	2	7	2.500000e-01	29
1	2	6	2	7	2.500000e-01	67
1	2	7	2	2	2.500000e-01	32
1	2	8	2	9	2.500000e-01	74
1	2	9	1	11	2.500000e-01	39
1	2	10	2	9	2.500000e-01	25
1	2	11	2	9	2.500000e-01	45
1	2	12	2	9	2.500000e-01	68
1	2	13	1	11	2.500000e-01	59
1	2	14	1	2	2.500000e-01	29
1	2	15	1	2	2.500000e-01	72
1	2	16	1	13	2.500000e-01	78
1	2	17	2	16	2.500000e-01	13
1	2	18	1	11	2.500000e-01	18
1	2	19	1	2	2.500000e-01	16
1	2	20	1	2	2.500000e-01	79
1	2	21	2	16	2.500000e-01	12
1	2	22	1	8	2.500000e-01	9
1	2	23	1	8	2.500000e-01	7
1	2	24	1	11	2.500000e-01	64
1	2	25	2	2	2.500000e-01	63
1	2	26	1	11	2.500000e-01	10
1	2	27	2	16	2.500000e-01	69
1	2	28	2	2	2.500000e-01	3
1	2	29	1	13	2.500000e-01	58
1	2	30	2	2	2.500000e-01	6
1	2	31	1	8	2.500000e-01	36
1	2	32	2	16	2.500000e-01	27
1	2	33	2	16	2.500000e-01	5
1	2	34	1	11	2.500000e-01	1
1	2	35	1	2	2.500000e-01	3
1	2	36	2	16	2.500000e-01	7
1	2	37	2	9	2.500000e-01	19
1	2	38	1	8	2.500000e-01	15
1	2	39	2	16	2.500000e-01	70
1	2	40	1	13	2.500000e-01	24
1	2	41	1	8	2.500000e-01	21
1	2	42	2	2	2.500000e-01	30
1	2	43	1	2	2.500000e-01	49
1	2	44	1	13	2.500000e-01	2
1	2	45	1	2	2.500000e-01	43
1	2	46	2	7	2.500000e-01	22
1	2	47	2	16	2.500000e-01	49
1	2	48	1	2	2.500000e-01	8
1	2	49	2	16	2.500000e-01	24
1	2	50	1	2	2.500000e-01	14
1	2	51	2	16	2.500000e-01	77
1	2	52	2	7	2.500000e-01	76
1	2	53	2	9	2.500000e-01	54
1	2	54	1	11	2.500000e-01	74
